"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000043881",1253.85879180913,1.64735120139862,0.137202072266104,239.340278446795,5.13331937667834e-48,5.04245962371113e-44
"ENSMUSG00000032557",969.263922339884,-0.0331537583261853,0.0868807716094579,72.5890225095657,4.42201634967411e-13,2.17187333014244e-09
"ENSMUSG00000078880",343.179251712796,6.60682944616817,1.15935641537442,64.663451899562,1.75718566263399e-11,5.75361158801789e-08
"ENSMUSG00000039126",2249.44788600306,-0.00218536042460004,0.107051272150016,58.5227510940173,2.9750168634026e-10,7.30589766230094e-07
"ENSMUSG00000073418",1004.96005319196,-0.266781665350741,0.172166846130713,52.3711359614362,4.93328004950982e-09,9.69192198526699e-06
"ENSMUSG00000106037",558.321285485166,0.813404535796794,0.356059552225811,46.1547320222014,8.15633115225724e-08,0.000133532734847705
"ENSMUSG00000029033",3357.78651787653,-0.0162334466524471,0.0811674420980671,44.8226719380079,1.48038104821562e-07,0.000187654323181297
"ENSMUSG00000030256",1040.47115739096,0.134082563846685,0.115636029185843,44.7513808461185,1.52828523409384e-07,0.000187654323181297
"ENSMUSG00000069972",554.094210635969,1.92420566534815,0.570101079006163,44.4874458153128,1.71944207427967e-07,0.000187667549951658
"ENSMUSG00000031834",3604.0569850051,-0.0505747398211927,0.0632972577934277,43.9641966963597,2.17147450896951e-07,0.000213303941016075
"ENSMUSG00000029438",2216.49922647256,-0.0373841328759356,0.0718224924361964,42.1964775759917,4.76604396031967e-07,0.000390140415185168
"ENSMUSG00000079225",886.718752813324,0.156869476065115,0.0732037387867071,42.3165348437391,4.51881017707115e-07,0.000390140415185168
"ENSMUSG00000036957",622.29551156725,-0.0301521481652934,0.0919346749450511,38.1750006437363,2.80665036235485e-06,0.00212074819303167
"ENSMUSG00000025576",5183.69935635316,-0.166793046271172,0.0702762426597245,37.181106129362,4.33428493083402e-06,0.00304112006254162
"ENSMUSG00000083773",522.320871875145,-0.242231313359913,2.27313362008978,36.4160550488766,6.04955461091086e-06,0.00396165166286516
"ENSMUSG00000011877",10158.4041454939,-0.122790183129178,0.0968928231468097,36.1405952267761,6.81958782355518e-06,0.00418680069942391
"ENSMUSG00000000282",1033.40623568084,0.0947115683973143,0.0757910127202817,35.4282371886485,9.29099537117915e-06,0.00507030264061626
"ENSMUSG00000042369",454.049834438032,-0.106409449633036,0.109568939829454,35.4814270959882,9.07919486776318e-06,0.00507030264061626
"ENSMUSG00000068856",958.038635655698,-0.135758839562852,0.0887033474967458,35.2168561079544,1.01821821217743e-05,0.00512333167002901
"ENSMUSG00000091478",420.468715996094,0.261970548218544,0.259165609857462,35.1610426860381,1.04312973023089e-05,0.00512333167002901
"ENSMUSG00000060260",663.525525498794,-0.0752074916502699,0.10666687577202,34.3208300995052,1.49992830151989e-05,0.00701609319325233
"ENSMUSG00000028782",13934.9502717446,-0.104417851095581,0.0729801231114809,33.9504961447013,1.75959407267674e-05,0.00785658753450163
"ENSMUSG00000022564",9524.06132950849,-0.111114993626736,0.0842480495560964,32.2064846362512,3.71875661827556e-05,0.0158823244614438
"ENSMUSG00000030374",5537.45566194058,-0.0189300764924268,0.0682585487524282,31.9687838087901,4.11606905743609e-05,0.0168467276463311
"ENSMUSG00000020704",1400.74921711803,-0.0380848003883643,0.0696451738546894,31.7576408516511,4.50399784613087e-05,0.0170164503240552
"ENSMUSG00000061536",1027.69773906595,-0.0225736166775821,0.0759823666011934,31.795108039709,4.43261675600053e-05,0.0170164503240552
"ENSMUSG00000037872",507.251410911478,-0.0570485443869059,0.16302446510644,31.3675776493691,5.31801395174034e-05,0.0193477226103501
"ENSMUSG00000041164",5289.08320501651,-0.174735020976057,0.0796661109777349,31.2748353451642,5.53201032029662e-05,0.0194074776343835
"ENSMUSG00000025027",1285.40168342414,0.135621707218485,0.07970636069532,30.6227630499507,7.29645868860925e-05,0.0235110147150958
"ENSMUSG00000030747",1936.13000615627,-0.0589853774838594,0.0897756339602565,30.7211761430392,6.9983171375568e-05,0.0235110147150958
"ENSMUSG00000037306",687.046071990215,-0.165273815647418,0.0979243320386082,30.583223334773,7.41974403102889e-05,0.0235110147150958
"ENSMUSG00000028063",648.811251600524,0.156627033803629,0.128850471730112,30.3946020628657,8.03675345539889e-05,0.0246703216226198
"ENSMUSG00000078899",2468.19393577313,-0.0473655696763732,0.0923256215687277,29.9371068004014,9.75154286636137e-05,0.029027092598869
"ENSMUSG00000049892",892.214049230786,-0.0554910728282108,0.154845251016234,29.7010492804748,0.000107727490514769,0.031123739391958
"ENSMUSG00000001518",317.124874284583,-0.0443448214417569,0.118530390730986,29.5367908986598,0.000115448703845792,0.0320129945632347
"ENSMUSG00000029028",1354.42102286549,0.0776776190923359,0.0900492528517056,29.381087472977,0.000123270503844525,0.0320129945632347
"ENSMUSG00000044285",7155.68408772172,-0.0481893189486347,0.201801449955442,29.392085104899,0.00012270129050249,0.0320129945632347
"ENSMUSG00000058881",398.058325729403,0.0726350896547752,0.140796299477726,29.3701080485413,0.000123841371617929,0.0320129945632347
"ENSMUSG00000020211",723.441979943767,-0.203235096631708,0.10600194525944,29.2041828920147,0.000132792649006083,0.0334467228509424
"ENSMUSG00000024969",2020.0672124683,-0.120462984567646,0.0682290887950608,29.0174337858472,0.000143631609916815,0.0335926977193541
"ENSMUSG00000027546",9898.06624025267,-0.0502588918582966,0.0561147481626918,29.127653851303,0.000137133285224419,0.0335926977193541
"ENSMUSG00000031438",685.214652509289,0.115873460779252,0.106444001511768,29.017520899381,0.000143626355936648,0.0335926977193541
"ENSMUSG00000033323",418.474175622761,0.00819816233882927,0.0949196289298521,28.6231000027898,0.000169463626626839,0.0387125861478009
"ENSMUSG00000041645",4568.63159761033,0.00996416127055504,0.0754421327181945,28.3365354697924,0.00019105689137016,0.0417947842586658
"ENSMUSG00000049577",853.878378803454,-0.158498339267741,0.110727509449423,28.3314265229665,0.000191465467946652,0.0417947842586658
"ENSMUSG00000036989",2106.07280012184,-0.0695698475491249,0.0683426971876306,28.1882856008593,0.000203269199892916,0.0434068119684373
"ENSMUSG00000041215",577.20839288936,-0.006367560083076,0.123385989567127,28.0805050587551,0.000212627170601983,0.0444390786558144
"ENSMUSG00000027646",3300.07536663151,-0.0923048829772746,0.0651769686096362,28.0141968205699,0.000218593733490866,0.044734296751683
"ENSMUSG00000037990",576.345556230334,-0.268030978631344,0.144992257745273,27.8416409502701,0.000234904091951368,0.0470910794946589
"ENSMUSG00000001227",3391.34747609668,0.00934419873844686,0.0702768667319369,27.5867075739462,0.000261215102840725,0.0481398707317622
"ENSMUSG00000043131",644.822675372305,0.158691064558105,0.0844387772386022,27.6256129662873,0.000257019961625328,0.0481398707317622
"ENSMUSG00000043323",1190.08945103774,-0.0340051570166947,0.0701422185361735,27.5191161558104,0.000268664204584089,0.0481398707317622
"ENSMUSG00000047409",508.729403667187,0.054091719580287,0.0868129348745825,27.5112894956761,0.000269540149673921,0.0481398707317622
"ENSMUSG00000051790",6327.82922920993,0.0358348329760216,0.0602158887852894,27.5728997671632,0.000262720127886961,0.0481398707317622
"ENSMUSG00000060373",4006.33702445296,-0.104767095169077,0.0870566247544836,27.5149839108117,0.000269126328143836,0.0481398707317622
"ENSMUSG00000022797",2344.20814205569,0.55718602421522,0.161358264500858,27.22585594458,0.000303478083516506,0.0505325416361252
"ENSMUSG00000029547",1823.72986800357,0.00836704563026875,0.096687180624772,27.2470029932615,0.000300825739732989,0.0505325416361252
"ENSMUSG00000031971",1208.54866402564,0.0809449417200883,0.104828374539184,27.3106823176347,0.0002929757574556,0.0505325416361252
"ENSMUSG00000041459",2867.88263105356,-0.0386595471686229,0.0750890212376833,27.2255692694109,0.000303514196938958,0.0505325416361252
"ENSMUSG00000003378",5728.73055340709,0.0234927225432174,0.0810343315793443,27.1179628637036,0.000317372553600122,0.051105478008078
"ENSMUSG00000031827",1905.63875625043,-0.113235358581595,0.0969435446336098,27.0920569470331,0.000320800748921159,0.051105478008078
"ENSMUSG00000037579",2235.59223959542,-0.0661344409952874,0.101718923814522,27.0441830643551,0.000327232094763791,0.051105478008078
"ENSMUSG00000053119",2128.72597566298,-0.0644993907602095,0.0559697196030295,27.0402506683258,0.000327765969104033,0.051105478008078
"ENSMUSG00000002968",1416.84200796115,-0.112575371321865,0.0878100294483947,26.9602435292811,0.000338815823632193,0.051678039796057
"ENSMUSG00000055093",303.304984649533,-4.35044310216352,1.38287328650186,26.9379468140185,0.000341959949785575,0.051678039796057
"ENSMUSG00000039546",1043.7574466962,-0.150109864630731,0.0786646900377077,26.7446891222432,0.00037044103748292,0.0551339744120413
"ENSMUSG00000037887",3590.97849675573,0.0945800505836616,0.057067861313955,26.5588869313543,0.000400015996207213,0.0586471213543799
"ENSMUSG00000019261",1295.7166786156,-0.0802165839549564,0.120636711392252,26.4895676821872,0.000411633979223401,0.0594629496751687
"ENSMUSG00000064317",238.295519790992,0.145084723408508,0.244393122431033,26.4048042077342,0.000426291606705172,0.0606878616328247
"ENSMUSG00000046607",1311.03342060623,-0.261261386203107,0.15458237480372,26.2836595933825,0.000448134095562661,0.0628860174387431
"ENSMUSG00000039713",2833.76571480523,0.0436500171840078,0.128985843797068,26.2209820617378,0.000459862590969694,0.0636229610013423
"ENSMUSG00000026204",11242.5629905243,0.0132644964907112,0.078067465242149,26.0119756367473,0.000501193024844385,0.0656429211072853
"ENSMUSG00000037428",3760.68992235836,0.0497951097905554,0.209031313723322,26.0259684463316,0.000498315615558136,0.0656429211072853
"ENSMUSG00000051243",2573.26683941048,-0.107788341299742,0.0913270288160474,26.0933573272873,0.000484683657130275,0.0656429211072853
